"Project ID","Title Project","Short Descr Project","Project Starts","Project Ends","Level of Impact","ISO CODE","Loc of Impact","Loc Info","% Aim 1: Right to Sustainable Livelihoods","% Aim 2: Right to Essential services","% Aim 3: Right to Life and Security","% Aim 4: Right to be heard","% Aim 5: Right to Equity"," Expenditure prior to 2010/11","Expenditure in 2010/11"," Revised Budget  in current and future years (£) ","Total Value all years (£)"
"BOLB41","Empowering Women in Chuquisaca Bolivia","Contributing to individual and collective emancipatory empowerment of oppressed, excluded and exploited women, in alliance with womens organizations, by developing innovative and participatory methodologies, the provision of services, research, participatory communication for social change, advocacy and the strengthening of the political action with the emerging social actors for the recognition of womens rights, representation and economic redistribution.","1-Jun-10 ","31-May-12 ","Country","BO","Bolivia","Tarabuco y D.2 de Sucre",-0,-0,-0,-0,100,-0," 62,504 "," 115,607 "," 178,111 "
"BOLB42","Alliance against discrimination and homophobia in Bolivia","The project aims to modify the correlation of forces in the reproduction of internal colonialism and the coloniality of gender power realtions, through empowerment and colaboration between indigenous women and lesbian groups to enable them to influence from the exercise of their political and economic rights, and fight against symbolic and real violence that they confront, including discrimination and homophobia, as a contribution to the process of decolonization and despatriarchalization of the Plurinational State.","1-Jun-10 ","31-Mar-12 ","Country","BO","Bolivia",-0,-0,-0,-0,-0,100,-0," 94,262 "," 37,186 "," 131,448 "
"BOLB43","Womens Enterprises: female economic actors for a Productive Bolivia","The project objective is to consolidate the National Network of Women Enterprises, as an authority capable of appealing to the State at different levels and to society in general, influencing public policies and  social practices and values from feminist principles of equality, gender equity and economic justice.","1-Jun-10 ","31-Aug-12 ","Country","BO","Bolivia","Beni, Chuquisaca, Cochabamba, La Paz, Oruro, Santa Cruz, Tarija, Potosí",-0,-0,-0,-0,100,-0," 43,921 "," 56,579 "," 100,500 "
"BOLB44","Promoting the access and control of indigenous rural women to territory","The project aims to promote rural indigenous woman's  access, use and control of territory and other productive assets and their empowerment within the framework of economic, political and cultural rights recognized in the new State Constitution","1-Jun-10 ","30-Jun-12 ","Country","BO","Bolivia","La Paz, Chuquisaca y Santa Cruz",-0,-0,-0,-0,100,-0," 77,796 "," 33,706 "," 111,502 "
"BOLB45","Empowerment of women and promotion of a life without violence","The project aims to contribute to women's empowerment and promote a life without violence by working with nursing assistants and through training preparing them to deal with situations of violence and abuse as well as learning about specific health needs of indigenous women.","1-Jun-10 ","31-May-12 ","Country","BO","Bolivia","Ingavi Province, La Paz",-0,-0,-0,-0,100,-0," 40,880 "," 15,598 "," 56,478 "
"BOLB46","Building alternatives for the exercise of  health, economic and political rights","Strengthen women's organizations in poor mining districts of Potosi, in order to empower them as agents of change in improving their living conditions as part of the exercise of social, political and economic rights and particularly in recognition of sexual and reproductive rights and addressing gender violence.","1-Jun-10 ","31-May-12 ","Country","BO","Bolivia","Llallagua, Porco, Agua de Castilla, ciudad de Potosí",-0,-0,-0,-0,100,-0," 17,150 "," 18,507 "," 35,657 "
"BOLB47","Integral training of women from El Alto and rural areas of La Paz","The project aims to offer women an integral education which will improve their personal self-steem, a critical awareness and active participation in society through access to productive training techniques, and training in socio-political and economic issues, and gender and cultural identity.","1-Jun-10 ","31-May-12 ","Country","BO","Bolivia"," EL ALTO Y PROVINCIAS DEL  DEPARTAMENTO DE LA PAZ ",-0,-0,-0,-0,100,-0," 23,029 "," 16,129 "," 39,158 "
"BOLB48","Research on postpartum therapy and treatment of indigenous women","The purpose of the  project is to analyze, describe and explain the post partum treatment of indigenous women in La Paz and El Alto, to gain an understanding of the practices and solutions found in alternative medical systems present in La Paz and El Alto. From postpartum research and production of information, this project would help prevent and cure, and  consequently contribute to lowering the morbidity and mortality of women in childbirth.","1-Jun-10 ","31-May-11 ","Country","BO","Bolivia",-0,-0,40,-0,-0,60,-0," 6,635 "," 4,961 "," 11,596 "
"BOLB49","Micro enterprises of women: Builders of the Habitat","Contribute to reducing urban poverty by promoting new employment opportunities in the construction sector and the social production of habitat in the City of El Alto. The project works with women, young and unemployed professionals developing particularly non-traditional employment sectors for women such as plumbing, electricity and plastering to qualify their skills and through that improve income.","1-Jun-10 ","31-May-12 ","Country","BO","Bolivia","La Paz",-0,-0,-0,-0,100,-0," 42,364 "," 56,658 "," 99,022 "
"BOLB50","Women deprived of liberty in La Paz write their history","The project's main objective is to edit and publish a book with stories of lives of women incarcerated in La Paz. It will develop writing workshops, storytelling and reflection coordinated by the EFEL - ICSF Foundation. The edition and lay out of the publication will be developed by the women prisoners","1-Jun-10 ","31-May-11 ","Country","BO","Bolivia",-0,-0,-0,-0,-0,100,-0," 5,441 ",-0," 5,441 "
"BOLB51","Formation of popular Quechua´s indigenous communicators","Promote genuine participation and ownership of the Quechua indigenous women from Colquechaca, Atocha and Llallagua in the process of development of their municipality and community to improve the living conditions of women, children and girls through her training as popular reporters in their own language,  Quechua.","1-Jul-10 ","30-Jun-11 ","Country","BO","Bolivia",-0,-0,-0,-0,-0,100,-0," 9,674 "," 5,161 "," 14,835 "
"BOLB52","Health without violence for indigenous women with disabilities","The project aims to contribute to reducing the violence faced by indigenous women with disabilities in health services in the cities of La Paz and El Alto and its provinces through promoting behavioral changes and the development of public health services within a framework of respect of Human Rights.","1-Jun-10 ","15-Jul-11 ","Country","BO","Bolivia",-0,-0,40,-0,-0,60,-0," 3,967 "," 1,935 "," 5,902 "
"BOLB53","Allainces for building new horizons","The project seeks to promote the full exercise of the rights of people with different sexual orientation and gender identity in strategic alliances with similar organizations, by raising awareness, training and advocacy to influence decision making spaces.","1-Jun-10 ","31-Aug-11 ","Country","BO","Bolivia",-0,-0,-0,-0,-0,100,-0," 16,250 "," 19,355 "," 35,605 "
"BOLB54","Strengthening women of rural economic organizations in Yungas - Bolivia","The purpose of this project is to consolidate women inclusion at grassroots organizations, rural economic organizations on coffee production leadership and the federation level, to achieve equitable participation, with strong economic, social and environmental management.  This will be possible by training women coffee producers on leadership, women’s rights on the new Constitution, specific knowledge of coffee breeding, and promoting association among them.","1-Aug-10 ","31-Aug-12 ","Country","BO","Bolivia","Los Yungas, La Paz - Bolivia",10,-0,-0,-0,90,-0," 4,769 "," 33,896 "," 38,665 "
"BOLB55","Strengthening of lesbian and bisexual womens organizations from Oruro","The project is focused on the visibility and strengthening of lesbian women organizations in Oruro department to address the stigma faced by lesbians and bisexual women and their vulnerability to   homophobia and domestic violence. The project will conduct training workshops to develop leadership and encourage advocacy actions for active participation of lesbians and bisexuals in the formulation of proposals for local public policies.","1-Jun-10 ","31-May-11 ","Country","BO","Bolivia",-0,-0,-0,-0,-0,100,-0," 9,186 ",-0," 9,186 "
"BOLB57","Mining women's rights and institutional strengthening of their organization","The project aims to promote the exercise and protection of the rights of women involved in mining to improve their living conditions, carrying out reflexion meetings in the mining districts,  broadcast of radio programs and newsletters so women will inform about their rights and obligations.","1-Jun-10 ","30-Sep-11 ","Country","BO","Bolivia",-0,-0,-0,-0,-0,100,-0," 10,888 "," 3,621 "," 14,509 "
"BOLB58","Learning to live together, awareness of sexual and generic diversity","The change sought by the project is the development of skills and potentials of Lesbian, Gay, Bisexual and Transexual people in the art of expression and building self-esteem, empowerment through training workshops for people with different sexual and generic orientation in social skills,  communication and expressive skills in their daily lives and appropriation of awareness and visibility tools.","1-Jun-10 ","31-Jul-11 ","Country","BO","Bolivia",-0,-0,-0,-0,-0,100,-0," 12,725 "," 8,065 "," 20,790 "
"BOLB59","Political advocacy of the federation of GLBT groups in the society of La Paz","The project aims to strengthen and empower the Departmental Federation of  Lesbian, Gay, Bisexual and Transexual in La Paz, to enable the strengthening of their member groups. It also pretends disseminate the human rights of people with different sexual orientation, to reduce  discrimination and homophobia to this population, through leadership training for the empowerment of different gender identities.","1-Jun-10 ","31-Jan-11 ","Country","BO","Bolivia",-0,-0,-0,-0,-0,100,-0," 8,852 ",-0," 8,507 "
"BOLB60","Third International GLBT Film Festival about, La Paz -Bolivia","Supporting the latest worldwide film production about gay, lesbian, bisexual, transgender (GLBT) population and their human rights through an international film festival, to raise awareness among the public in La Paz.","3-May-10 ","31-Jul-10 ","Country","BO","Bolivia",-0,-0,-0,-0,-0,100,-0," 2,572 ",-0," 2,572 "
"BOLB61","Information and advocacy in favour of transexual female population","The project aims to encourage transexual female population to to defend and exercise their rights, through a census of the population of transvestites, transgender and transexuals in the nine departmental capital cities, El Alto and eight intermediate urban centers in Bolivia. It will also carry out advocacy activities at local level through workshops and training activities.","1-Jun-10 ","15-Jan-11 ","Country","BO","Bolivia",-0,-0,-0,-0,-0,100,-0," 18,005 ",-0," 17,467 "
"BOLB62","Joining forces to build the Neighborhood Leadership Schools in Oruro Bolivia","The project seeks to strengthen neighborhood association of women leaders in Oruro by opening the ""Neighborhood Leadership School"", developing workshops to exchange experiences of leadership and identify local needs and demands for the development of a training curriculum for a future  ""Neighborhood Leadership School"".","1-Jun-10 ","30-Sep-10 ","Country","BO","Bolivia","Oruro",-0,-0,-0,-0,100,-0," 3,289 ",-0," 3,289 "
"BOLB63","Counterpart founds Conexión - Emancipation Fund","The project puts women´s rights at the center of our work through a project aimed at supporting different complementary initiatives to the Emancipation Fund Conexion, in the context of the Urban and Gender Equity Programme. It supports advocacy initiatives in defence of women´s rights; the sistematization of emblemetic experiences for learning; developing conceptual frameworks linking gender to interculturality and decolonization in the context of the new plurinational state; and innovative multimedia campaigns around women´s rights.","1-Aug-10 ","31-Mar-12 ","Country","BO","Bolivia",-0,-0,-0,-0,-0,100,-0," 32,028 "," 19,010 "," 51,038 "
"BOLB64","Decolonization of the Bolivian State","Institutional Strengthening of the Department of Decolonization of the Bolivian State in coordination with the Gregoria Apaza Centre for Promotion of Women. This project aims to influence dual discrimination of internal colonialism and patriarchal society, through communciation, awareness raising, consultation processes with social organizations and civil society, and advocacy related to the design of the 2011 National Census and the development of legislative and public policy frameworks. By strengthing this government department and its work with civil society it aims to raise the profile of these issues in Bolivian society.","1-Nov-10 ","31-Dec-11 ","Country","BO","Bolivia",-0,-0,-0,-0,33,67,-0," 36,159 "," 36,115 "," 72,274 "
"BOLB65","Response to displaced families located in areas of imminent landslide in La Paz","The porpose of the project is to avoid loss of life and reduce illness by providing technical support to the  Autonomous Municipal  Government of La Paz (GAMLP) in relation to temporary shelters, security conditions, water and sanitation facilities, as well as developing regulatory norms in temporary shelters’ management for people affected by landslide.","26-Nov-10 ","14-Jun-11 ","Country","BO","Bolivia",-0,-0,-0,100,-0,-0,-0," 304,785 ",-0," 304,785 "
"BOLB67","EC-EIDHR Women working for equal political participation","The political process in Bolivia has evolved to encourage more democratic and equitable scenarios, particularly regarding the legal recognition of parity and alternation is a sign of progress. However, an increase of women in governance does not necessarily imply an improvement in quality representation. The project aims to ensure that increased participation of women leads to a strengthening of democracy and effectiveness of women as agents of change and achieve changes in the political culture, creating opportunities for participation and implementing actions to achieve progress in the implementation of human rights .","3-Jan-11 ","31-Dec-12 ","Country","BO","Bolivia","Santa Cruz, Cochabamba y La Paz.",-0,-0,-0,35,65,-0," 53,876 "," 134,662 "," 188,538 "
"BOLB68","Taking care of children to emancipate women in La Paz, Bolivia","The Municipality of La Paz has a local policy that recognizes collective responsibility of people for dependants. The intervention begins with the installation of public services that will take care of dependant people, as part of a Municipality Program in two neighborhoods.  The project will strength social control and lobbying capacities among neighborhood organizations to advocate for legislation related to the care economy.","3-Jan-11 ","31-Aug-12 ","Country","BO","Bolivia","La Paz, provincia Murillo (dos barrios: Escóbar Uría y Rincón de la Portada",-0,-0,-0,10,90,-0," 33,979 "," 132,708 "," 166,687 "
"BOLB69","Women producers in El Alto building a new local model of economic plurality","This project supports the contribution of women producers in El Alto towards the construction of a new local model of economic plurality that has been recognized by the Constitution. This project will empower women producers in their entrepreneurship skills, and will also open public debate about the economy of care.","3-Jan-11 ","30-Jun-12 ","Country","BO","Bolivia","La Paz (El Alto)",10,-0,-0,-0,90,-0," 22,124 "," 41,695 "," 63,819 "
"BOLB70","Economic rights with intercultural and gender perspective in Bolivia","The objective of this project is to improve access and exercise of rights among women who belong to peasant and indigenous families from different cultural groups.  Rights will be related to economic initiatives that generate sustainable jobs and incomes in the Chaco, Valleys and Tropical regions of Bolivia.  The project will promote participation of women producers within their organizations in the slected initiatives (coffee, honey, peanut,  corn, fishing, etc)","3-Jan-11 ","31-Aug-12 ","Country","BO","Bolivia","Santa Cruz y Chuquisaca",10,-0,-0,-0,90,-0," 46,143 "," 111,314 "," 157,457 "
"BOLB71","Women of Chiquitania in Bolivia: Enterprise development and lobby","The project aims to strengthen the presence of women in economic productive activities connected to the natural and cultural potential of their communities. This will be possible by selecting activities that have market potential and that are managed by women.  The project will train women to improve quality of products, connect them to different potential clients, and develop capacities for lobbying decision makers.","17-Jan-11 ","16-Apr-12 ","Country","BO","Bolivia"," SANTA CRUZ ",10,-0,-0,-0,90,-0," 36,238 "," 23,706 "," 59,944 "
"BOLB72","Empowerment of women artisans in Santa Cruz","This project will contribute to political empowerment and economic autonomy of women artisans in the Chaco region and Eastern Bolivia by a) promoting and giving value to artisans work, and b) strengthening women artisans’ capacities for proposals, negotiation and lobby.","3-Jan-11 ","31-Aug-12 ","Country","BO","Bolivia"," Santa Cruz ",20,-0,-0,-0,80,-0," 7,756 "," 56,223 "," 63,979 "
"BOLB73","Productive entrepreneurship of women: promoting economic rights in Bolivia","The objective of this project is to generate data that allows greater knowledge of entrepreneurship activities conducted by women, especially indigenous women.  The data will be collected by research at a national level.  The report will be presented to economic organizations, grass roots organizations and policy makers.  Then, workshops will be held to develop abilities and  knowledge focused on gender sensitive entrepreneurship.","1-Feb-11 ","30-Apr-12 ","Country","BO","Bolivia","Nacional",10,-0,-0,-0,90,-0," 37,077 "," 57,335 "," 94,412 "
"BOLB74","Empowerment and leadership of indigenous women of low lands in Bolivia","The project aims to empower indigenous women as political actors in organizationall structures, at local, regional, national and international levels with capacity building, skills and knowledge in the use and management of ICT.  Women will strengthen their participation in decision making, access to information required to communicate and articulate among indigenous women as well as with other organizations, through virtual platforms for the exercise of their rights, making visible their input and proposals as women.","1-Feb-11 ","31-Jul-12 ","Country","BO","Bolivia","Nacional",-0,-0,-0,-0,100,-0," 4,909 "," 58,960 "," 63,870 "
"BOLB75","Strengthening and consolidating organizations of indigenous women in Low Lands B","The objective of this project is to help consolidate organizations of indigenous women in regions of eastern Chaco and Amazon, strengthen organizations structures and articulate empowered women leaders to exercise their rights and to participate in equality of conditions.  The project will assist the affiliate women organizations in getting legal registration.  They will also participate in a training program, and run assemblies and meetings.","1-Feb-11 ","31-Jul-12 ","Country","BO","Bolivia","Nacional",-0,-0,-0,10,90,-0," 8,685 "," 57,566 "," 66,251 "
"BOLB76","Building a dignified life among people with different gender identity in La Paz","The project aims to promote awareness about sexual orientation and gender identity issues to university students in urban areas, and people from rural Municipalities in the Departament of La Paz (Coroico, Chulumani, Caranavi, Viacha , Pucarani y Guanay).  The efforts will be focused on delivering information on the selected topics and socializing public policies and laws, not only with general public but with gay, bisexual, homosexual and transsexual groups.","3-Jan-11 ","30-Jun-12 ","Country","BO","Bolivia","La Paz (Coroico, Chulumani, Caranavi, Viacha, Pucarani y Guanay).",-0,-0,-0,10,90,-0," 22,710 "," 25,152 "," 47,862 "
"BOLB77","Dignify employment for solid waste collectors in the city of Sucre.","The project aims to consolidate sustainable self-employment generation, through the conformation of an organization that brings together the collectors of municipal solid waste in the city of Sucre, an organization that has similar initiatives in other cities in the country.","3-Jan-11 ","31-Aug-12 ","Country","BO","Bolivia","Sucre",20,-0,-0,-0,80,-0," 25,224 "," 35,568 "," 60,792 "
"BOLB78","Sustainable use of palm trees and fruits from the Amazon in Beni","The project aims to strengthen women´s economic rights by improving techniques on the use of raw materials for the elaboration of knitted products and the transformation of fruit.  This will generate work for women associates that allows them increase their incomes as women weavers with assured and sustainable raw materials that come from reforested jipijapa (a perennial weed) and other plants.","3-Jan-11 ","29-Feb-12 ","Country","BO","Bolivia","Beni",20,-0,-0,-0,80,-0," 7,927 "," 34,784 "," 42,711 "
"BOLB79","Strategy of production, training and trading for RENACER Association in Beni","This project aims to guarantee raw material and training for women weavers and so they make visible their strong role in the family economy.  This will improve their quality of life as well as their families, and contribute to the valorization and recognition of women’s work in their community._x000D_
The association of artisan women will assure the provision of raw materials by introducing sustainable crops.  Also they will be trained on the quality of the finished products and marketing strategies.","3-Jan-11 ","31-Dec-11 ","Country","BO","Bolivia","Beni",10,-0,-0,-0,90,-0," 2,065 "," 4,339 "," 6,404 "
"BOLB80","Empowerment of women producers from El Alto city","The project aims to support women in El Alto city, through economic, social and political empowerment for the purpose of trying to overcome their poverty, exclusion and discrimination. The main approach is the promotion of economic rights, such as employment, work and income, enabling women to improve self-confidence, achieving recognition and develop their potential and their identity, while improving their autonomy.","3-Jan-11 ","31-Dec-11 ","Country","BO","Bolivia"," EL ALTO ",20,-0,-0,-0,80,-0," 7,734 "," 29,686 "," 37,420 "
"BOLB81","Strengthening and insertion of indigenous women in their economic organizations","The project aims to achieve empowerment and active participation of women in economic organizations and the implementation of quality production systems through training and the chain of production, gathering, processing and marketing of natural ingredients with green tea cultivation, through a model of_x000D_
sustainable utilization of plant resources in the canton Chijchipani Caranavi province of the Yungas of_x000D_
La Paz, that would obtain a secure income for families and their organization.","3-Jan-11 ","30-Jun-12 ","Country","BO","Bolivia","La Paz",20,-0,-0,-0,80,-0," 21,029 "," 43,001 "," 64,030 "
"BOLB83","Strengthening our Rights, our Future as Afro-Bolivian women","The project aims to strengthen the capacity of Afro-Bolivian people to be able to define consciously  the goals of their struggle and the future history of the country, developing advocacy skills for a culture of gender and interculturality.","3-Jan-11 ","31-Dec-11 ","Country","BO","Bolivia"," CHULUMANI, COROICO Y COMUNIDADES ",-0,-0,-0,-0,100,-0," 5,562 "," 15,600 "," 21,162 "
"BOLB84","Transforming our lives whit political participation and  visibilization","The project aims to increase political participation and  visibilization of lesbian and bisexual women and strengthen their management and decision-making positions in the different areas of public life. It also seeks to enhance the exercise of the right to full citizenship within the framework of respect for different identities in La Paz, Santa Cruz, Cochabamba, Sucre, Oruro and Potosí","3-Jan-11 ","31-Dec-11 ","Country","BO","Bolivia","Santa Cruz, La Paz, Cochabamba, Chuquisaca, Potosí y Oruro.",-0,-0,-0,20,80,-0," 6,088 "," 14,685 "," 20,773 "
"BOLB85","Building Bolivia with sexual and gender diversities","The project aims to increase political participation of  TLGB group members through awareness and empowerment on human rights to enable the TLGB population to make themselves visible in areas of public life and improve the excercise of full citizenship.","3-Jan-11 ","30-Jun-12 ","Country","BO","Bolivia","Nacional",-0,-0,-0,20,80,-0," 5,000 "," 28,110 "," 33,110 "
"BOLB86","Promoting gender equality in eight municipalities of North Chuquisaca","The project aims to ensure that municipal government programmes promote gender equity for women and men to exercise the same rights. The project develops capacity building (training courses and integration into the process of elaboration and monitoring of programs and projects) of the eight municipalities in the northern Chuquisaca Commonwealth of Municipalities, so as to transform gender relations in a constructive spirit and with methodologies and strategies tailored to the context.","3-Jan-11 ","31-Mar-12 ","Country","BO","Bolivia","Chuquisaca - Bolivia",-0,-0,-0,20,80,-0," 8,751 "," 36,060 "," 44,811 "
"BOLB87","Combating violence against women, for the full exercise of their right to health","Contribuir al desarrollo de políticas y prácticas efectivas contra la Violencia de género especialmente de mujeres víctimas y vulnerables a ésta a partir del empoderamiento de sus derechos en salud sexual y salud reproductiva y del aumento de capacidades en las instituciones públicas.","3-Jan-11 ","31-Aug-12 ","Country","BO","Bolivia","Cochabama Cercado, Tiquipaya, Cliza Quillacollo, Cliza,Vinto,Colcapirhua",-0,20,-0,-0,80,-0," 31,530 "," 70,968 "," 102,498 "
"BOLB89","Looking for Equality in Bolivia","CIDEM seeks to strengthen and enhance its information system, through the collection of information from the 9 cities in Bolivia, on the issue of violence against women developed by the Monitoring Centre ""Manuela"" and SIVICIGE, using this information to develop advocacy strategies, policy proposals and public policy.","3-Jan-11 ","31-Aug-12 ","Country","BO","Bolivia","Cobija, Trinidad, Scz, Sucre, Tarija, Cbba, Potosi, Oruro, La Paz y El Alto.",-0,-0,-0,-0,100,-0," 12,612 "," 33,537 "," 46,149 "
"BOLB90","My body reflects my freedom: Shares of political visibility of trans people","The proyect aims to carry out cultural activities, in order to promote rights of transexuals by developing an ARTrans campaign (poster art) to be located in different areas of the city of La Paz-Bolivia, and a research and museografic sample about the travesti presence at parties.","1-Feb-11 ","31-Dec-11 ","Country","BO","Bolivia"," LA PAZ CITY ",-0,-0,-0,-0,100,-0," 14,767 "," 10,072 "," 24,839 "
"BOLB92","Building municipal policies and strategies for food sovereignty and enforcement","The project aims to contribute to the economic empowerment of women through the creation of networks for the exchange of knowledge, practices and experiences, and thus strengthen their participation in the design and implementation of local economic development policies for the  food sovereignty production from a gender approach, promoting decolonization and ecological well living under the municipal policies of 3 municipalities of La Paz and Oruro.","1-Feb-11 ","31-Jul-12 ","Country","BO","Bolivia","La Paz (Achacachi y Ayata) y Oruro (Soracachi)",-0,-0,-0,20,80,-0," 12,085 "," 29,330 "," 41,415 "
"BOLB93","For the right of women to a life without violence in Cobija Pando","The project aims to contribute that women of Cobija neighborhoods have aware of their right to a life without violence and that the young students of the Amazonian University of Pando, have more knowledge of the rule on domestic violence for  contribute that women exercise their rights and improve their quality of life through training and awareness about women rigths, gender equity and domestic violence.","1-Mar-11 ","30-Nov-11 ","Country","BO","Bolivia","Cobija - Beni",-0,20,-0,-0,80,-0," 1,554 "," 4,835 "," 6,389 "
"BOLB94","Consolidation of women economic organizations of Padcaya-Tarija","The project aims to strengthen production processes and financial management of organized rural women of the producer association AOEM (Asociación de Organizaciones Económicas de Mujeres) in the Municipality of Padcaya in Tarija, through training and provision of production inputs, aimed to improve their living conditions by taking part in the productive development of their region.","3-Jan-11 ","30-Jun-12 ","Country","BO","Bolivia","Dpto. Tarija. Provincia Arce. Municipio de Padcaya",20,-0,-0,-0,80,-0," 23,534 "," 37,459 "," 60,993 "
"BOLB95","Women Guaraní paths for equity","The project aims to contribute to the empowerment of indigenous Guarani women from three zonal regiones of  Tarija department, to exercise their rights in public and private fields, affecting the implementation of autonomy, by increasing their leadership skills, improving their productive capacities and informing them of their rights.","3-Jan-11 ","31-Aug-12 ","Country","BO","Bolivia","Dpto. Tarija. Prov. Gran Chaco. Municipios de Villamontes, Yacuiba y Caraparí",10,-0,-0,10,80,-0," 18,669 "," 45,416 "," 64,085 "
"BOLB96","Access to Land and Ceiling for Women of Peri-Urban Areas and Rural Municipality","The project aims to promote and contribute to the exercise of citizenship of women in a highly vulnerable situation, through capacity building (social, economic and political) and their inclusion in the municipal public policy for access to land ownership, housing and sanitation in the Municipality of the Holy Trinity of the Department of Beni.","1-Feb-11 ","31-Aug-12 ","Country","BO","Bolivia","Dpto. Beni Provincia Cercado Municipio de la Santísima Trinidad",-0,-0,-0,-0,100,-0," 44,142 "," 109,677 "," 153,819 "
"BOLB97","Full Citizenship: Promotion and Exercise of Human Rights in Beni","The project aims to achieve the full exercise of rights for the population of diverse sexual orientation and gender identity in the department of Beni, through awareness raising.","3-Jan-11 ","31-Aug-12 ","Country","BO","Bolivia","Beni (Trinidad, Santa Ana de Yacuma y San Joaquin)",-0,-0,-0,-0,100,-0," 2,711 "," 10,129 "," 12,840 "
"BRAA97","Economic Justice - OI Brasil","In Brazil works jointly with partners and allies to face poverty and inequality on the framework of OI Economic Justice Plan (regional integration and trade, agriculture model, biofuel and climate change). The Project expects to contribute to build more equality power relations, which guarantee the right of women and men to more sustainable livelihoods, through influence national policies and the role of the country at regional and global level.","1-Nov-07 ","31-Mar-11 ","Country","BR","Brazil",-0,40,-0,-0,45,15," 1,169,747 "," 463,827 ",-0," 1,633,574 "
"BRAB19","Development in Brazil’s North and Northeast Regions: National Urban Policies","The project deals with poverty in  peri-urban municipalities in Brazil, commonly defined as cities undergoing rural-urban transition processes in which land use gets interspersed. The project seeks to affect poor people’s lives by advocating participatory, gender-inclusive, rights-based and pro-poor urban policymaking and management in small- and mid-sized cities in the states of Bahia and Maranhão (both in the Northeast Region) and Pará (in the Eastern Amazon part of Brazil’s North Region), notably in the city of Belterra. The project is jointly funded by the EU programme `Non-state Actors and Local Authorities in Development` and Oxfam.","1-May-09 ","31-Dec-10 ","Country","BR","Brazil",-0,20,-0,-0,50,30," 108,289 "," 54,508 ",-0," 162,797 "
"BRAB27","Disaster Risk Reduction - Brazil Urban Programme","The project ""Promotion of Disaster Risk Reduction (DRR) Policies and Humanitarian Response in Cities"" takes on Oxfam GB's decision to integrate DRR approaches to its development programs. In Brazil, this will be carried on by conducting Disaster Impact Assessments; supportig CSOs and grassroots to act quickly by exerting pressure upon local, state and federal governments to respond to disasters effectively and by monitoring said response; and to build capacity among CSOs to advocate and campaign for DRR approaches to urban policymaking in order to reduce the hight toll imposed by floods and droughts in Brazil on a yearly basis.","1-Dec-09 ","30-Nov-10 ","Country","BR","Brazil",-0,-0,-0,50,50,-0," 56,433 "," 7,868 ",-0," 64,301 "
"BRAB32","Economic Justice - OI Brasil Operational Project","In Brazil OI works jointly with partners and allies to face poverty and inequality on the framework of OI Economic Justice Plan (regional integration and trade, agriculture model, biofuel and climate change). The Project expects to contribute to build more equality power relations, which guarantee the right of women and men to more sustainable livelihoods, through influence national policies and the role of the country at regional and global level.","1-Apr-10 ","31-Jul-10 ","Country","BR","Brazil",-0,35,5,-0,45,15,-0," 43,594 ",-0," 43,594 "
"BRAB33","Development in Brazil’s North and Northeast Regions: National Urban Policies","The project deals with poverty in  peri-urban municipalities in Brazil, commonly defined as cities undergoing rural-urban transition processes in which land use gets interspersed. The project seeks to affect poor people’s lives by advocating participatory, gender-inclusive, rights-based and pro-poor urban policymaking and management in small- and mid-sized cities in the states of Bahia and Maranhão (both in the Northeast Region) and Pará (in the Eastern Amazon part of Brazil’s North Region), notably in the city of Belterra. The project is jointly funded by the EU programme `Non-state Actors and Local Authorities in Development` and Oxfam.","1-Apr-10 ","31-Mar-12 ","Country","BR","Brazil",-0,20,-0,-0,50,30,-0," 279,571 "," 176,454 "," 456,025 "
"BRAB36","Operational Plan -  Actions in Advocacy, Campaigning and Visibility PPEC Brazil","This project’s objectives are to foster and support activities such as commissioning research and data analyses; outsourcing media and communication services; organizing public events; supporting capacity-building initiatives; and funding innovative projects.  It seeks to optimize the operational resources available to the Programme for the Promotion of Equality in Cities in light of Oxfam GB’s new emphasis on Advocacy and Campaigning activities in Brazil.  It will be the basis of an Operational Plan aimed at scaling up partners’ influence, increasing the impacts of Oxfam GB’s work. and raising its visibility in the country.","1-Apr-10 ","31-Mar-11 ","Country","BR","Brazil",-0,-0,-0,10,30,60,-0," 176,186 ",-0," 176,186 "
"BRAB37","Strengthening Urban Programming through Action Learning","This meta-project makes possible that PPEC's partners, projects, activities, and results can serve as subsidy for action learning initiatives accross Oxfam.  Just recently the fact that most humankind, and most poor people, live in cities has really grasped people's attention, which has stirred debates around development programes and posed challenges to organizations such as Oxfam.  Since Brazil holds the distinction of being the only country in which Oxfam has a programme solely focused to urban inequalities, it seems to be strategically placed to foster critical analysis and learning exchanging activities around urban programming.","1-Jul-10 ","31-Oct-11 ","Country","BR","Brazil",-0,-0,12,-0,88,-0,-0," 84,827 ",-0," 84,827 "
"BRAB38","Scaling up Pro-poor Urban Policymaking","This project will help consolidate the Programme for the Promotion of Equality in Cities (PPEC) into a full-fledged Advocacy & Campaigning (A&C) programme, highly innovative in addressing issues of poverty and suffering.  It will do so by combining three fundamental elements: the staggering inequality levels that still pervade the country in several areas, in spite of its emerging status as a global player; the knowledge and experience in urban programming accumulated by Oxfam’s Brazil Office; and the potentially transformative actions from the Brazilian rights-based CSOs with whom Oxfam has been partnering for the past 50 years.","23-Sep-10 ","30-Jun-11 ","Country","BR","Brazil",-0,-0,-0,-0,60,40,-0," 107,071 ",-0," 107,071 "
